"","StartAge","MatAge","DeathAge","PolicyCost","isEarlyDeath","GrossProfit"
"1",37,70,72,14565.6915912216,0,-9434.30840877843
"2",25,70,84,7955.16007036598,0,-160044.839929634
"3",35,70,86,13156.7407151338,0,-178843.259284866
"4",28,70,79,9244.36084529135,0,-98755.6391547087
"5",25,70,72,7955.16007036598,0,-16044.839929634
"6",27,70,88,8792.44348617133,0,-207207.556513829
"7",37,70,66,14565.6915912216,1,14565.6915912216
"8",38,70,74,15328.9262145253,0,-32671.0737854747
"9",39,70,90,16134.5791977414,0,-223865.420802259
"10",25,70,39,7955.16007036598,1,7955.16007036598
"11",31,70,82,10748.51299757,0,-133251.48700243
"12",39,70,65,16134.5791977414,1,16134.5791977414
"13",34,70,72,12506.4221301843,0,-11493.5778698157
"14",30,70,52,10221.0170492056,1,10221.0170492056
"15",29,70,46,9720.09018227271,1,9720.09018227271
"16",37,70,90,14565.6915912216,0,-225434.308408778
"17",29,70,77,9720.09018227271,0,-74279.9098177273
"18",29,70,67,9720.09018227271,1,9720.09018227271
"19",35,70,46,13156.7407151338,1,13156.7407151338
"20",32,70,99,11304.1385252528,0,-336695.861474747
"21",27,70,87,8792.44348617133,0,-195207.556513829
"22",30,70,69,10221.0170492056,1,10221.0170492056
"23",29,70,58,9720.09018227271,1,9720.09018227271
"24",25,70,81,7955.16007036598,0,-124044.839929634
"25",31,70,76,10748.51299757,0,-61251.48700243
"26",28,70,74,9244.36084529135,0,-38755.6391547086
"27",25,70,81,7955.16007036598,0,-124044.839929634
"28",30,70,92,10221.0170492056,0,-253778.982950794
"29",32,70,82,11304.1385252528,0,-132695.861474747
"30",28,70,84,9244.36084529135,0,-158755.639154709
"31",31,70,70,10748.51299757,1,10748.51299757
"32",38,70,83,15328.9262145253,0,-140671.073785475
"33",36,70,87,13842.4003526914,0,-190157.599647309
"34",28,70,79,9244.36084529135,0,-98755.6391547087
"35",26,70,62,8363.12080528374,1,8363.12080528374
"36",39,70,95,16134.5791977414,0,-283865.420802259
"37",27,70,83,8792.44348617133,0,-147207.556513829
"38",40,70,85,16985.4698356661,0,-163014.530164334
"39",35,70,63,13156.7407151338,1,13156.7407151338
"40",25,70,82,7955.16007036598,0,-136044.839929634
"41",29,70,72,9720.09018227271,0,-14279.9098177273
"42",39,70,82,16134.5791977414,0,-127865.420802259
"43",36,70,76,13842.4003526914,0,-58157.5996473086
"44",38,70,87,15328.9262145253,0,-188671.073785475
"45",37,70,82,14565.6915912216,0,-129434.308408778
"46",37,70,66,14565.6915912216,1,14565.6915912216
"47",37,70,91,14565.6915912216,0,-237434.308408778
"48",32,70,87,11304.1385252528,0,-192695.861474747
"49",33,70,84,11889.558116448,0,-156110.441883552
"50",34,70,62,12506.4221301843,1,12506.4221301843
"51",25,70,76,7955.16007036598,0,-64044.839929634
"52",34,70,74,12506.4221301843,0,-35493.5778698157
"53",37,70,81,14565.6915912216,0,-117434.308408778
"54",37,70,85,14565.6915912216,0,-165434.308408778
"55",33,70,61,11889.558116448,1,11889.558116448
"56",38,70,83,15328.9262145253,0,-140671.073785475
"57",40,70,53,16985.4698356661,1,16985.4698356661
"58",35,70,84,13156.7407151338,0,-154843.259284866
"59",27,70,75,8792.44348617133,0,-51207.5565138287
"60",33,70,77,11889.558116448,0,-72110.441883552
"61",27,70,81,8792.44348617133,0,-123207.556513829
"62",40,70,69,16985.4698356661,1,16985.4698356661
"63",30,70,92,10221.0170492056,0,-253778.982950794
"64",33,70,58,11889.558116448,1,11889.558116448
"65",32,70,74,11304.1385252528,0,-36695.8614747472
"66",25,70,69,7955.16007036598,1,7955.16007036598
"67",38,70,51,15328.9262145253,1,15328.9262145253
"68",28,70,73,9244.36084529135,0,-26755.6391547086
"69",26,70,80,8363.12080528374,0,-111636.879194716
"70",33,70,71,11889.558116448,0,-110.441883552025
"71",32,70,80,11304.1385252528,0,-108695.861474747
"72",35,70,73,13156.7407151338,0,-22843.2592848662
"73",37,70,87,14565.6915912216,0,-189434.308408778
"74",35,70,91,13156.7407151338,0,-238843.259284866
"75",25,70,67,7955.16007036598,1,7955.16007036598
"76",25,70,93,7955.16007036598,0,-268044.839929634
"77",32,70,52,11304.1385252528,1,11304.1385252528
"78",25,70,94,7955.16007036598,0,-280044.839929634
"79",34,70,89,12506.4221301843,0,-215493.577869816
"80",39,70,84,16134.5791977414,0,-151865.420802259
"81",33,70,77,11889.558116448,0,-72110.441883552
