"","year","total_loss","ROI","invested","sold_policies","ROI_adjusted_profit"
"31",30,0,981352.371980167,20903982.6587985,1182331.38885996,21790731.2004435
"32",31,0,1045199.13293993,22250854.2900783,1206689.99335964,23155871.7850981
"33",32,1224000,1112542.71450392,23656011.0800302,1170456.30179179,23309853.306374
"34",33,3456000,1182800.55400151,25130809.3459406,1167990.84763575,22550802.4816675
"35",34,6396000,1256540.46729703,26679029.1772581,1166717.45608154,21158067.2693192
"36",35,10020000,1333951.4588629,28309446.9260441,1185865.15969269,19178845.7958137
"37",36,13164000,1415472.34630221,30023799.5694427,1195521.18838531,17756440.4607317
"38",37,16908000,1501189.97847213,31831534.6342282,1226180.34525338,15843169.8931682
"39",38,20556000,1591576.73171141,33727548.4715177,1217748.42231238,14084859.788252
"40",39,27792000,1686377.42357588,35713526.4457018,1198402.20243318,8820328.09752673
"41",40,34356000,1785676.32228509,37789148.419316,1159782.60531618,4302985.37330311
"42",41,42492000,1889457.4209658,39984594.4884514,1223954.59267847,-1589439.56703976
"43",42,51480000,1999229.72442257,42271343.1580552,1150075.78072486,-8346100.00640118
"44",43,58128000,2113567.15790276,44681720.1158963,1187239.19975342,-12555850.4842886
"45",44,64752000,2234086.00579481,47206810.0298834,1164015.63276933,-16672178.2455396
"46",45,73380000,2360340.50149417,49872178.3137704,1220111.12957103,-22592738.3390514
"47",46,82272000,2493608.91568852,52666434.1058383,1202587.50551759,-28703625.2650235
"48",47,89724000,2633321.70529191,55601511.4831986,1207022.68827352,-33217221.5005963
"49",48,97524000,2780075.57415993,58673544.5331893,1167829.90332331,-37974583.0393182
"50",49,106476000,2933677.22665947,61907437.2499046,1200861.96022341,-43667916.2799278
"51",50,113652000,3095371.86249523,65298651.9129475,1183371.20219035,-47465819.6854098
"52",51,120576000,3264932.59564737,68846465.4893995,1131523.92321872,-50880891.5681864
"53",52,123960000,3442323.27446998,72574796.1073587,1144029.37395695,-50527181.8621736
"54",53,126792000,3628739.80536794,76497835.435519,1177198.09116936,-49411265.996104
"55",54,1.32e+08,3824891.77177595,80616763.5020496,1176145.17901841,-50501127.6136867
"56",55,136140000,4030838.17510248,84943289.5339197,1182751.42707079,-50309646.8957772
"57",56,139260000,4247164.47669599,89491812.3706923,1205433.44030622,-48864112.5490781
"58",57,144936000,4474590.61853461,94265083.5428513,1194722.21449754,-49774874.7962756
"59",58,150336000,4713254.17714256,99279005.7573233,1202672.14931791,-50154990.1306883
"60",59,153108000,4963950.28786617,104553270.836406,1241259.1648662,-47623784.7899443
"61",60,155676000,5227663.5418203,110075449.262046,1178059.53527938,-44717006.0864943
"62",61,157392000,5503772.46310231,115877598.453655,1193506.91402682,-40619271.3608247
"63",62,155208000,5793879.92268276,121975157.519722,1214716.57353544,-32321805.0501266
"64",63,161808000,6098757.87598609,128363879.254029,1159855.43328448,-32574229.1710076
"65",64,163104000,6418193.96270145,135076516.081962,1177771.46092429,-27144155.3223453
"66",65,165384000,6753825.80409808,142120924.753815,1162331.47102305,-22391326.6429174
"67",66,166872000,7106046.23769077,149528963.245888,1207969.01752848,-16437059.9909654
"68",67,165780000,7476448.16229441,157300792.797112,1181525.55571776,-7593063.03609955
"69",68,167688000,7865039.63985561,165478207.421871,1249499.93961205,-1272667.62342024
"70",69,170292000,8273910.37109354,174038181.003429,1144252.84185909,4604370.63482335
"71",70,168684000,8701909.05017145,183036517.442864,1185709.55705228,15241799.6106528
"72",71,169272000,9151825.87214318,192486143.53393,1191200.87569379,24107544.1907005
"73",72,173748000,9624307.17669651,202396615.01343,1144657.21121256,29507107.9218393
"74",73,174492000,10119830.7506715,212822579.545122,1224535.12408337,39248980.8881847
"75",74,173604000,10641128.9772561,223760148.728567,1185760.8247536,51045469.3471319
