"","year","total_loss","ROI","invested","sold_policies","ROI_adjusted_profit"
"1",0,0,0,296619.737866365,1186478.95146546,1186478.95146546
"2",1,0,14830.9868933183,610939.503188638,1197955.11371582,1509405.8384755
"3",2,0,30546.9751594319,937394.917350121,1183633.7560082,1825120.23435627
"4",3,0,46869.7458675061,1270521.61287908,1145027.79864582,2129292.46186345
"5",4,0,63526.0806439542,1622458.31713454,1153642.49444602,2487690.18796906
"6",5,0,81122.9158567271,2005865.38332055,1209136.60131711,2912717.83430837
"7",6,0,100293.269166027,2399235.87496906,1172308.88992995,3278467.54241652
"8",7,0,119961.793748453,2819840.01408256,1202569.38146019,3721767.05017771
"9",8,0,140992.000704128,3261363.04050002,1202124.1028533,4162956.11763999
"10",9,0,163068.152025001,3708951.12018156,1138079.71062617,4562510.90315119
"11",10,0,185447.556009078,4200835.34036308,1225746.65668976,5120145.33288039
"12",11,0,210041.767018154,4709352.06037522,1193899.81197597,5604776.9193572
"13",12,0,235467.603018761,5239933.34511779,1180454.72689523,6125274.39028921
"14",13,0,261996.66725589,5789818.91343032,1151555.60422658,6653485.61660026
"15",14,0,289490.945671516,6367955.20481269,1154581.38284339,7233891.24194523
"16",15,0,318397.760240634,6980748.22513901,1177581.04034277,7863934.00539609
"17",16,0,349037.411256951,7641321.60053527,1246143.85655724,8575929.49295321
"18",17,0,382066.080026764,8318259.87259428,1179488.76812897,9202876.44869101
"19",18,0,415912.993629714,9020924.028707,1147004.64993203,9881177.51615603
"20",19,0,451046.20143535,9763655.20297706,1166739.89133882,10638710.1214812
"21",20,0,488182.760148853,10539583.9357034,1150983.89030976,11402821.8534357
"22",21,0,526979.196785168,11366856.8151676,1201174.73071624,12267737.8632048
"23",22,0,568342.840758379,12241472.3209286,1225090.66001058,13160290.3159365
"24",23,0,612073.61604643,13139898.3932077,1145409.82493063,13998955.7619057
"25",24,0,656994.919660385,14093721.6844421,1187313.486296,14984206.7991641
"26",25,0,704686.084222104,15095642.7642713,1188939.98242842,15987347.7510926
"27",26,0,754782.138213564,16147602.1288886,1188708.90561491,17039133.8080998
"28",27,0,807380.106444429,17259446.5044317,1217857.07639473,18172839.3117277
"29",28,0,862972.325221584,18410780.7615521,1153447.7275955,19275866.5572488
"30",29,0,920539.038077607,19627047.4396033,1182910.55989437,20514230.3595241
