"","StartAge","MatAge","DeathAge","PolicyCost","isEarlyDeath","GrossProfit"
"48",30,60,83,27735.0538552814,0,-248264.946144719
"49",29,60,76,26375.7729182613,0,-165624.227081739
"50",40,60,71,46090.6109814258,0,-85909.3890185742
"51",27,60,80,23858.5741941828,0,-216141.425805817
"52",39,60,42,43781.6922550225,1,43781.6922550225
"53",28,60,78,25084.8662777387,0,-190915.133722261
"54",32,60,70,30674.138324602,0,-89325.861675398
"55",40,60,66,46090.6109814258,0,-25909.3890185742
"56",39,60,85,43781.6922550225,0,-256218.307744977
"57",31,60,83,29166.4308372293,0,-246833.569162771
"58",25,60,90,21586.579096464,0,-338413.420903536
"59",26,60,70,22693.5934864521,0,-97306.4065135479
"60",34,60,86,33936.5730090924,0,-278063.426990908
"61",32,60,87,30674.138324602,0,-293325.861675398
"62",38,60,82,41595.5273390858,0,-222404.472660914
"63",28,60,76,25084.8662777387,0,-166915.133722261
"64",28,60,54,25084.8662777387,1,25084.8662777387
"65",36,60,84,37561.7922776187,0,-250438.207722381
"66",29,60,83,26375.7729182613,0,-249624.227081739
"67",40,60,92,46090.6109814258,0,-337909.389018574
"68",31,60,77,29166.4308372293,0,-174833.569162771
"69",27,60,84,23858.5741941828,0,-264141.425805817
"70",38,60,68,41595.5273390858,0,-54404.4726609142
"71",38,60,86,41595.5273390858,0,-270404.472660914
"72",39,60,80,43781.6922550225,0,-196218.307744977
"73",31,60,68,29166.4308372293,0,-66833.5691627707
"74",29,60,71,26375.7729182613,0,-105624.227081739
"75",34,60,77,33936.5730090924,0,-170063.426990908
"76",31,60,63,29166.4308372293,0,-6833.56916277073
"77",29,60,83,26375.7729182613,0,-249624.227081739
"78",28,60,82,25084.8662777387,0,-238915.133722261
"79",34,60,74,33936.5730090924,0,-134063.426990908
"80",40,60,49,46090.6109814258,1,46090.6109814258
"81",34,60,80,33936.5730090924,0,-206063.426990908
"82",27,60,89,23858.5741941828,0,-324141.425805817
"83",30,60,73,27735.0538552814,0,-128264.946144719
"84",36,60,87,37561.7922776187,0,-286438.207722381
"85",25,60,72,21586.579096464,0,-122413.420903536
"86",32,60,79,30674.138324602,0,-197325.861675398
"87",40,60,89,46090.6109814258,0,-301909.389018574
"88",29,60,85,26375.7729182613,0,-273624.227081739
"89",25,60,69,21586.579096464,0,-86413.420903536
"90",31,60,71,29166.4308372293,0,-102833.569162771
"91",35,60,90,35701.233109925,0,-324298.766890075
"92",38,60,76,41595.5273390858,0,-150404.472660914
"93",36,60,97,37561.7922776187,0,-406438.207722381
"94",38,60,71,41595.5273390858,0,-90404.4726609142
"95",26,60,93,22693.5934864521,0,-373306.406513548
"96",34,60,70,33936.5730090924,0,-86063.4269909076
"97",27,60,83,23858.5741941828,0,-252141.425805817
"98",28,60,75,25084.8662777387,0,-154915.133722261
"99",31,60,83,29166.4308372293,0,-246833.569162771
"100",40,60,82,46090.6109814258,0,-217909.389018574
"101",40,60,96,46090.6109814258,0,-385909.389018574
"102",33,60,80,32262.692948038,0,-207737.307051962
"103",32,60,76,30674.138324602,0,-161325.861675398
"104",31,60,74,29166.4308372293,0,-138833.569162771
"105",30,60,80,27735.0538552814,0,-212264.946144719
"106",39,60,45,43781.6922550225,1,43781.6922550225
"107",39,60,76,43781.6922550225,0,-148218.307744977
"108",32,60,91,30674.138324602,0,-341325.861675398
"109",29,60,81,26375.7729182613,0,-225624.227081739
"110",33,60,34,32262.692948038,1,32262.692948038
"111",37,60,88,39524.46598779,0,-296475.53401221
"112",34,60,90,33936.5730090924,0,-326063.426990908
"113",31,60,66,29166.4308372293,0,-42833.5691627707
"114",40,60,92,46090.6109814258,0,-337909.389018574
"115",28,60,88,25084.8662777387,0,-310915.133722261
"116",33,60,79,32262.692948038,0,-195737.307051962
"117",26,60,86,22693.5934864521,0,-289306.406513548
"118",35,60,82,35701.233109925,0,-228298.766890075
"119",28,60,98,25084.8662777387,0,-430915.133722261
"120",28,60,73,25084.8662777387,0,-130915.133722261
"121",32,60,75,30674.138324602,0,-149325.861675398
"122",36,60,66,37561.7922776187,0,-34438.2077223813
"123",29,60,76,26375.7729182613,0,-165624.227081739
"124",32,60,77,30674.138324602,0,-173325.861675398
"125",30,60,86,27735.0538552814,0,-284264.946144719
"126",26,60,77,22693.5934864521,0,-181306.406513548
"127",40,60,82,46090.6109814258,0,-217909.389018574
"128",39,60,83,43781.6922550225,0,-232218.307744977
"129",36,60,94,37561.7922776187,0,-370438.207722381
"130",29,60,72,26375.7729182613,0,-117624.227081739
"131",31,60,52,29166.4308372293,1,29166.4308372293
"132",40,60,63,46090.6109814258,0,10090.6109814258
"133",29,60,100,26375.7729182613,0,-453624.227081739
"134",33,60,83,32262.692948038,0,-243737.307051962
"135",29,60,87,26375.7729182613,0,-297624.227081739
"136",40,60,79,46090.6109814258,0,-181909.389018574
"137",25,60,66,21586.579096464,0,-50413.420903536
"138",26,60,91,22693.5934864521,0,-349306.406513548
"139",28,60,79,25084.8662777387,0,-202915.133722261
"140",34,60,93,33936.5730090924,0,-362063.426990908
"141",40,60,79,46090.6109814258,0,-181909.389018574
"142",39,60,72,43781.6922550225,0,-100218.307744977
"143",30,60,80,27735.0538552814,0,-212264.946144719
"144",33,60,37,32262.692948038,1,32262.692948038
"145",29,60,72,26375.7729182613,0,-117624.227081739
"146",29,60,43,26375.7729182613,1,26375.7729182613
"147",29,60,94,26375.7729182613,0,-381624.227081739
"148",28,60,72,25084.8662777387,0,-118915.133722261
"149",29,60,32,26375.7729182613,1,26375.7729182613
"150",34,60,62,33936.5730090924,0,9936.5730090924
"151",27,60,74,23858.5741941828,0,-144141.425805817
"152",29,60,65,26375.7729182613,0,-33624.2270817387
"153",38,60,87,41595.5273390858,0,-282404.472660914
"154",37,60,91,39524.46598779,0,-332475.53401221
"155",33,60,61,32262.692948038,0,20262.692948038
"156",36,60,62,37561.7922776187,0,13561.7922776187
"157",31,60,87,29166.4308372293,0,-294833.569162771
"158",36,60,98,37561.7922776187,0,-418438.207722381
"159",40,60,85,46090.6109814258,0,-253909.389018574
"160",37,60,66,39524.46598779,0,-32475.53401221
"161",34,60,53,33936.5730090924,1,33936.5730090924
"162",35,60,72,35701.233109925,0,-108298.766890075
"163",40,60,91,46090.6109814258,0,-325909.389018574
"164",40,60,85,46090.6109814258,0,-253909.389018574
"165",31,60,83,29166.4308372293,0,-246833.569162771
"166",31,60,55,29166.4308372293,1,29166.4308372293
"167",27,60,52,23858.5741941828,1,23858.5741941828
"168",33,60,79,32262.692948038,0,-195737.307051962
"169",30,60,33,27735.0538552814,1,27735.0538552814
"170",35,60,91,35701.233109925,0,-336298.766890075
"171",39,60,67,43781.6922550225,0,-40218.3077449775
"172",25,60,78,21586.579096464,0,-194413.420903536
"173",38,60,86,41595.5273390858,0,-270404.472660914
"174",33,60,64,32262.692948038,0,-15737.307051962
"175",36,60,92,37561.7922776187,0,-346438.207722381
"176",34,60,89,33936.5730090924,0,-314063.426990908
"177",34,60,54,33936.5730090924,1,33936.5730090924
"178",36,60,77,37561.7922776187,0,-166438.207722381
"179",36,60,83,37561.7922776187,0,-238438.207722381
"180",39,60,96,43781.6922550225,0,-388218.307744977
"181",34,60,37,33936.5730090924,1,33936.5730090924
"182",30,60,73,27735.0538552814,0,-128264.946144719
"183",38,60,89,41595.5273390858,0,-306404.472660914
"184",32,60,81,30674.138324602,0,-221325.861675398
"185",25,60,78,21586.579096464,0,-194413.420903536
"186",33,60,80,32262.692948038,0,-207737.307051962
"187",33,60,64,32262.692948038,0,-15737.307051962
"188",35,60,78,35701.233109925,0,-180298.766890075
"189",38,60,90,41595.5273390858,0,-318404.472660914
"190",30,60,82,27735.0538552814,0,-236264.946144719
"191",35,60,85,35701.233109925,0,-264298.766890075
"192",29,60,61,26375.7729182613,0,14375.7729182613
"193",33,60,67,32262.692948038,0,-51737.307051962
"194",34,60,83,33936.5730090924,0,-242063.426990908
"195",37,60,79,39524.46598779,0,-188475.53401221
"196",29,60,81,26375.7729182613,0,-225624.227081739
"197",28,60,95,25084.8662777387,0,-394915.133722261
"198",40,60,82,46090.6109814258,0,-217909.389018574
"199",28,60,72,25084.8662777387,0,-118915.133722261
"200",38,60,82,41595.5273390858,0,-222404.472660914
"201",26,60,72,22693.5934864521,0,-121306.406513548
"202",36,60,91,37561.7922776187,0,-334438.207722381
"203",25,60,78,21586.579096464,0,-194413.420903536
"204",33,60,84,32262.692948038,0,-255737.307051962
"205",26,60,73,22693.5934864521,0,-133306.406513548
"206",26,60,56,22693.5934864521,1,22693.5934864521
"207",32,60,79,30674.138324602,0,-197325.861675398
"208",32,60,83,30674.138324602,0,-245325.861675398
"209",39,60,91,43781.6922550225,0,-328218.307744977
"210",26,60,88,22693.5934864521,0,-313306.406513548
"211",25,60,66,21586.579096464,0,-50413.420903536
"212",28,60,71,25084.8662777387,0,-106915.133722261
"213",28,60,41,25084.8662777387,1,25084.8662777387
"214",36,60,75,37561.7922776187,0,-142438.207722381
"215",30,60,80,27735.0538552814,0,-212264.946144719
"216",33,60,57,32262.692948038,1,32262.692948038
"217",32,60,80,30674.138324602,0,-209325.861675398
"218",36,60,97,37561.7922776187,0,-406438.207722381
"219",30,60,79,27735.0538552814,0,-200264.946144719
"220",31,60,84,29166.4308372293,0,-258833.569162771
"221",38,60,88,41595.5273390858,0,-294404.472660914
"222",31,60,70,29166.4308372293,0,-90833.5691627707
"223",40,60,95,46090.6109814258,0,-373909.389018574
"224",34,60,75,33936.5730090924,0,-146063.426990908
"225",36,60,84,37561.7922776187,0,-250438.207722381
"226",35,60,68,35701.233109925,0,-60298.766890075
"227",30,60,66,27735.0538552814,0,-44264.9461447186
"228",39,60,68,43781.6922550225,0,-52218.3077449775
"229",29,60,76,26375.7729182613,0,-165624.227081739
"230",27,60,92,23858.5741941828,0,-360141.425805817
"231",36,60,72,37561.7922776187,0,-106438.207722381
"232",28,60,77,25084.8662777387,0,-178915.133722261
"233",26,60,63,22693.5934864521,0,-13306.4065135479
"234",30,60,73,27735.0538552814,0,-128264.946144719
"235",30,60,76,27735.0538552814,0,-164264.946144719
"236",40,60,79,46090.6109814258,0,-181909.389018574
"237",39,60,54,43781.6922550225,1,43781.6922550225
"238",25,60,87,21586.579096464,0,-302413.420903536
"239",27,60,65,23858.5741941828,0,-36141.4258058172
"240",35,60,80,35701.233109925,0,-204298.766890075
"241",38,60,83,41595.5273390858,0,-234404.472660914
"242",39,60,90,43781.6922550225,0,-316218.307744977
"243",28,60,89,25084.8662777387,0,-322915.133722261
"244",40,60,81,46090.6109814258,0,-205909.389018574
"245",28,60,80,25084.8662777387,0,-214915.133722261
"246",28,60,75,25084.8662777387,0,-154915.133722261
"247",32,60,84,30674.138324602,0,-257325.861675398
"248",25,60,74,21586.579096464,0,-146413.420903536
"249",40,60,54,46090.6109814258,1,46090.6109814258
"250",27,60,38,23858.5741941828,1,23858.5741941828
"251",27,60,94,23858.5741941828,0,-384141.425805817
